Kids_First_Biospecimen_ID	count_regions_high_conf	count_regions_low_conf	any_high_conf	any_low_conf
BS_58X7SKJS	0	0	FALSE	FALSE
BS_59FR1NC2	0	0	FALSE	FALSE
BS_5BMNK8SY	0	0	FALSE	FALSE
BS_5BNV7MCF	0	0	FALSE	FALSE
BS_5D24XV4T	0	0	FALSE	FALSE
BS_5J5VH3X0	0	0	FALSE	FALSE
BS_5KFAEMQJ	0	1	FALSE	TRUE
BS_5KK9P7XD	0	0	FALSE	FALSE
BS_5NAKYS1S	0	0	FALSE	FALSE
BS_5R0HHQ1Y	0	0	FALSE	FALSE
BS_5RD8KEED	0	0	FALSE	FALSE
BS_5V2FBYQG	0	0	FALSE	FALSE
BS_5V2XCW17	2	2	TRUE	TRUE
BS_5WK2KXYW	0	0	FALSE	FALSE
BS_5Y2Q63Y4	0	0	FALSE	FALSE
BS_5Z4XQC9X	1	2	TRUE	TRUE
BS_5ZRZC3ZM	0	1	FALSE	TRUE
BS_62XRDTM6	0	0	FALSE	FALSE
BS_682Z7WH6	0	0	FALSE	FALSE
BS_69VS8PS1	1	1	TRUE	TRUE
BS_6FV7BDE3	0	0	FALSE	FALSE
BS_6FYTRKJJ	0	0	FALSE	FALSE
BS_6GN1FGTB	0	0	FALSE	FALSE
BS_6GTKRGNK	0	0	FALSE	FALSE
BS_6HE8H9HY	0	0	FALSE	FALSE
BS_6KEYD1S4	0	0	FALSE	FALSE
BS_6NPSZJ4C	0	0	FALSE	FALSE
BS_6Q9PMNWY	0	0	FALSE	FALSE
BS_6SA5B35V	0	0	FALSE	FALSE
BS_6T87HSPX	1	1	TRUE	TRUE
BS_6X3Z0AVR	0	0	FALSE	FALSE
BS_6XP91JM2	0	0	FALSE	FALSE
BS_6Y7FX7QJ	0	0	FALSE	FALSE
BS_6Z213H2V	0	1	FALSE	TRUE
BS_6Z4WHYDG	0	0	FALSE	FALSE
BS_6ZP2KRPW	0	1	FALSE	TRUE
BS_70FKSKM9	1	1	TRUE	TRUE
BS_71HPXFE7	1	1	TRUE	TRUE
BS_742CDKAS	1	1	TRUE	TRUE
BS_74A1TB03	0	0	FALSE	FALSE
BS_75VHXMZN	0	0	FALSE	FALSE
BS_78TQS4Y3	0	0	FALSE	FALSE
BS_797V83YM	0	0	FALSE	FALSE
BS_79NQJZ09	0	0	FALSE	FALSE
BS_79SYEHY3	1	1	TRUE	TRUE
BS_7BNQBB26	0	0	FALSE	FALSE
BS_7F07M7JG	0	0	FALSE	FALSE
BS_7GKF6M85	1	1	TRUE	TRUE
BS_7HC4W4SA	0	0	FALSE	FALSE
BS_7M5272WN	0	0	FALSE	FALSE
BS_7M6F9GQD	0	0	FALSE	FALSE
BS_7PF3C1P7	0	0	FALSE	FALSE
BS_7PKPNFFK	0	0	FALSE	FALSE
BS_7RQCH5Y7	0	0	FALSE	FALSE
BS_7Y5E5KQW	0	0	FALSE	FALSE
BS_80078QDG	1	1	TRUE	TRUE
BS_80X7AVCP	0	0	FALSE	FALSE
BS_8226HD4X	0	0	FALSE	FALSE
BS_823V5X6Z	0	0	FALSE	FALSE
BS_83MSWR59	0	0	FALSE	FALSE
BS_84AQCZE4	0	0	FALSE	FALSE
BS_859AV1DB	0	0	FALSE	FALSE
BS_85Q5P8GF	0	0	FALSE	FALSE
BS_85Y70BHE	0	0	FALSE	FALSE
BS_872Q3FK2	0	0	FALSE	FALSE
BS_886M7JMG	0	0	FALSE	FALSE
BS_89RCN9PF	0	0	FALSE	FALSE
BS_8B1YF57H	0	0	FALSE	FALSE
BS_8BD8WD38	1	1	TRUE	TRUE
BS_8BM1WTGR	0	0	FALSE	FALSE
BS_8BS10XE2	0	0	FALSE	FALSE
BS_8D52JK1Q	0	0	FALSE	FALSE
BS_8EB1S8MK	0	0	FALSE	FALSE
BS_8FSJDG2T	0	0	FALSE	FALSE
BS_8H2XX24V	0	0	FALSE	FALSE
BS_8JFMP1T1	0	0	FALSE	FALSE
BS_8Q8CAY84	0	0	FALSE	FALSE
BS_8S2CZBA6	1	1	TRUE	TRUE
BS_8SYN7GXG	0	0	FALSE	FALSE
BS_8TFBNHT0	0	0	FALSE	FALSE
BS_8W0FNBWF	0	0	FALSE	FALSE
BS_8WJR4AA3	0	0	FALSE	FALSE
BS_8YQGSMDK	0	0	FALSE	FALSE
BS_922YMFYK	2	2	TRUE	TRUE
BS_928HWFFM	0	0	FALSE	FALSE
BS_93B38HPS	1	1	TRUE	TRUE
BS_947CK40E	0	0	FALSE	FALSE
BS_94AP61Q5	0	0	FALSE	FALSE
BS_95RRF4NE	0	0	FALSE	FALSE
BS_969K7ZM1	0	0	FALSE	FALSE
BS_99PPRCW4	0	0	FALSE	FALSE
BS_9BF58P80	0	0	FALSE	FALSE
BS_9BGCH82S	0	0	FALSE	FALSE
BS_9BN45DFK	0	0	FALSE	FALSE
BS_9CMJ3QF6	0	0	FALSE	FALSE
BS_9D39MFHT	0	0	FALSE	FALSE
BS_9E632VPJ	0	0	FALSE	FALSE
BS_9E6Q11G2	0	0	FALSE	FALSE
BS_9F2J6VS1	0	0	FALSE	FALSE
BS_9G7ETYHR	0	0	FALSE	FALSE
BS_9GJHMA3J	2	2	TRUE	TRUE
BS_9GSWPZ44	0	0	FALSE	FALSE
BS_9HDPJT21	0	0	FALSE	FALSE
BS_9HEMB7RK	0	0	FALSE	FALSE
BS_9JVGXA2W	0	0	FALSE	FALSE
BS_9KDA3HG6	0	0	FALSE	FALSE
BS_9M49SGAQ	0	0	FALSE	FALSE
BS_9NF39QAW	1	1	TRUE	TRUE
BS_9PQPZPGM	0	0	FALSE	FALSE
BS_9QMVZ4C0	0	0	FALSE	FALSE
BS_9R82A3VT	0	0	FALSE	FALSE
BS_9W6FK6X4	0	0	FALSE	FALSE
BS_9X9E86DY	0	0	FALSE	FALSE
BS_9YPJANGX	0	0	FALSE	FALSE
BS_9ZFXXJPK	0	0	FALSE	FALSE
BS_A3EV6FXK	0	0	FALSE	FALSE
BS_A4KYP5H0	0	0	FALSE	FALSE
BS_A70G7S2W	0	0	FALSE	FALSE
BS_ABENB1H2	0	0	FALSE	FALSE
BS_ABZ3BK38	0	0	FALSE	FALSE
BS_ACE6QKVF	0	0	FALSE	FALSE
BS_ACTR13BQ	0	0	FALSE	FALSE
BS_AEMRNSQX	0	0	FALSE	FALSE
BS_AG0BZN6F	0	0	FALSE	FALSE
BS_AGAW7M7W	0	0	FALSE	FALSE
BS_AGD2ATY1	0	0	FALSE	FALSE
BS_AGGH3QGS	0	0	FALSE	FALSE
BS_AJ0T7DJ7	0	0	FALSE	FALSE
BS_AJFG2QDD	0	0	FALSE	FALSE
